Sample	Matrix	Spikecellsperg	Replicate	Treatment	gene	copiesperng
negB	Feed	0	B	Unenriched	stn	0
negC	Feed	0	C	Unenriched	stn	0.0138556
6A	Feed	750000	A	Unenriched	invA	5942.345105
6B	Feed	750000	B	Unenriched	invA	8714.72786
6C	Feed	750000	C	Unenriched	invA	10028.17235
5A	Feed	75000	A	Unenriched	invA	890.582794
5B	Feed	75000	B	Unenriched	invA	458.8735513
5C	Feed	75000	C	Unenriched	invA	1054.375001
4A	Feed	7500	A	Unenriched	invA	62.5004985
4B	Feed	7500	B	Unenriched	invA	44.39170118
4C	Feed	7500	C	Unenriched	invA	88.29099324
3A	Feed	750	A	Unenriched	invA	3.222018586
3B	Feed	750	B	Unenriched	invA	5.854500148
3C	Feed	750	C	Unenriched	invA	12.30263745
2A	Feed	75	A	Unenriched	invA	0.478200851
2B	Feed	75	B	Unenriched	invA	0.528697378
2C	Feed	75	C	Unenriched	invA	0.993737165
1A	Feed	7.5	A	Unenriched	invA	0.077990617
1B	Feed	7.5	B	Unenriched	invA	0
1C	Feed	7.5	C	Unenriched	invA	0.168770268
1D	Feed	7.5	D	Unenriched	invA	0.133788417
1E	Feed	7.5	E	Unenriched	invA	0.160765774
1F	Feed	7.5	F	Unenriched	invA	0
0A	Feed	0.75	A	Unenriched	invA	0.080188593
0B	Feed	0.75	B	Unenriched	invA	0
0C	Feed	0.75	C	Unenriched	invA	0
0D	Feed	0.75	D	Unenriched	invA	0
0E	Feed	0.75	E	Unenriched	invA	0
0F	Feed	0.75	F	Unenriched	invA	0.093508597
negA	Feed	0	A	Unenriched	invA	0
negB	Feed	0	B	Unenriched	invA	0
negC	Feed	0	C	Unenriched	invA	0.091577002
