sampleid	samplecode	forward-absolute-filepath	reverse-absolute-filepath	Matrix	Spiked_CFU	Condition	Replicate	qPCR	Spike_code1	Spike_code2	Both_cond_seq	Region	seqdate
5A-DirExt-CS	2023-16S-0019	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0019_S19_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0019_S19_L001_R2_001.fastq.gz	Caeca	59200	Direct	A	pos	5	5A	FALSE	V3V4	20230502
5B-DirExt-CS	2023-16S-0020	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0020_S20_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0020_S20_L001_R2_001.fastq.gz	Caeca	59200	Direct	B	pos	5	5B	FALSE	V3V4	20230502
5C-DirExt-CS	2023-16S-0021	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0021_S21_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0021_S21_L001_R2_001.fastq.gz	Caeca	59200	Direct	C	pos	5	5C	FALSE	V3V4	20230502
6A-DirExt-CS	2023-16S-0022	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0022_S22_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0022_S22_L001_R2_001.fastq.gz	Caeca	592000	Direct	A	pos	6	6A	FALSE	V3V4	20230502
6B-DirExt-CS	2023-16S-0023	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0023_S23_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0023_S23_L001_R2_001.fastq.gz	Caeca	592000	Direct	B	pos	6	6B	FALSE	V3V4	20230502
6C-DirExt-CS	2023-16S-0024	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0024_S24_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0024_S24_L001_R2_001.fastq.gz	Caeca	592000	Direct	C	pos	6	6C	FALSE	V3V4	20230502
negA-BPW-CS	2023-16S-0033	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0033_S33_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0033_S33_L001_R2_001.fastq.gz	Caeca	0	Enriched	A	neg	neg	negA	TRUE	V3V4	20230502
negB-BPW-CS	2023-16S-0034	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0034_S34_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0034_S34_L001_R2_001.fastq.gz	Caeca	0	Enriched	B	neg	neg	negB	TRUE	V3V4	20230502
negC-BPW-CS	2023-16S-0035	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0035_S35_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0035_S35_L001_R2_001.fastq.gz	Caeca	0	Enriched	C	neg	neg	negC	TRUE	V3V4	20230502
1A-BPW-CS	2023-16S-0036	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0036_S36_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0036_S36_L001_R2_001.fastq.gz	Caeca	6	Enriched	A	neg	1	1A	FALSE	V3V4	20230502
